time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z
1067348,0.022749000000000002,0.029391000000000004,-0.019507,0.9946269387755101,-0.03333897959183673,0.05139653061224489,-0.28767800000000004,-0.330585,0.392221
1067448,0.010862,0.024852000000000003,-0.01608,1.0002572448979592,-0.02888132653061224,0.05723010204081632,-0.287245,-0.33571999999999996,0.394966
1067548,0.012785,0.02458,-0.014061,1.0027838775510203,-0.021184795918367347,0.06480234693877551,-0.285749,-0.33524499999999996,0.394992
1067648,0.0052049999999999996,0.034987,-0.017324000000000003,1.0013073469387754,-0.024761224489795914,0.06575489795918366,-0.28283200000000003,-0.338949,0.398314
1067748,-0.005907,0.05,-0.022143,1.0044238775510204,-0.03320530612244898,0.061864285714285705,-0.285893,-0.338098,0.402362
1067848,-0.009136,0.065941,-0.026683,1.0005363265306122,-0.030698571428571426,0.05527418367346939,-0.286411,-0.338636,0.40333600000000003
1067948,-0.005294,0.070151,-0.0291,1.004582857142857,-0.03577785714285714,0.04963897959183673,-0.287029,-0.343401,0.409105
1068048,0.009656999999999999,0.07192,-0.034066,1.0040055102040815,-0.031874489795918365,0.049455510204081635,-0.287581,-0.34799800000000003,0.411376
1068148,0.019468,0.079766,-0.038459,1.0062170408163265,-0.025259795918367346,0.05376693877551019,-0.291173,-0.34970300000000004,0.416796
1068248,0.032684,0.084927,-0.045752999999999995,1.0055221428571428,-0.022168367346938774,0.05746438775510204,-0.294245,-0.35433200000000004,0.42056499999999997
1068348,0.040101,0.083853,-0.051721,1.004425918367347,-0.017923367346938775,0.05778510204081632,-0.296885,-0.360134,0.427782
1068448,0.044969999999999996,0.072271,-0.055535,1.0048589795918366,-0.019908265306122448,0.06419510204081633,-0.30146300000000004,-0.361798,0.43270200000000003
1068548,0.043792000000000005,0.069104,-0.058249,1.004164693877551,-0.024933061224489794,0.06961734693877551,-0.301117,-0.369143,0.43984399999999996
1068648,0.033114,0.058462,-0.057437,0.9981178571428572,-0.02810816326530612,0.07050520408163265,-0.302257,-0.371481,0.44723900000000005
1068748,0.020224000000000002,0.050604,-0.05605,0.9979498979591837,-0.033271020408163265,0.07236775510204081,-0.30383699999999997,-0.378127,0.45090699999999995
1068848,0.013022999999999998,0.046316,-0.05112,0.9956616326530612,-0.026899693877551017,0.07403265306122447,-0.30498200000000003,-0.38345500000000005,0.458149
1068948,0.006416,0.043861000000000004,-0.048574,0.9956064285714284,-0.018969795918367345,0.0729834693877551,-0.308116,-0.387256,0.46546800000000005
1069048,0.0067269999999999995,0.038724,-0.055497000000000005,0.9994464285714285,-0.006347857142857142,0.07543673469387754,-0.310237,-0.391523,0.471761
1069148,0.013090000000000001,0.037447,-0.063682,1.0039304081632652,-0.0002287755102040816,0.07755122448979591,-0.31288499999999997,-0.396353,0.479529
1069248,0.012674,0.050864,-0.076013,1.0065118367346937,-0.001455408163265306,0.07772938775510203,-0.316033,-0.397712,0.48797399999999996
1069348,0.014333000000000002,0.060578999999999994,-0.089103,1.0039982653061224,-0.005751326530612244,0.07152540816326529,-0.31864899999999996,-0.400476,0.49434399999999995
1069448,0.018402,0.061742,-0.101204,0.9988226530612243,-0.023228877551020405,0.06569132653061224,-0.324301,-0.40876999999999997,0.502432
1069548,0.023531,0.041007,-0.088757,0.9899781632653061,-0.0412519387755102,0.07047142857142857,-0.328426,-0.409069,0.5099279999999999
1069648,0.018713,0.018724,-0.079589,0.982430306122449,-0.031024489795918368,0.07671602040816325,-0.32806599999999997,-0.41389799999999993,0.516696
1069748,0.010667,-0.001609,-0.073533,0.9842307142857142,-0.020902142857142855,0.08414642857142857,-0.33623600000000003,-0.422225,0.526284
1069848,0.005529,-0.023253,-0.07070599999999999,0.9910144897959183,-0.013271020408163265,0.09222857142857142,-0.336431,-0.42718999999999996,0.536051
1069948,0.015652000000000003,-0.019308000000000002,-0.074318,1.004933163265306,-0.006825408163265306,0.09325591836734692,-0.337574,-0.432019,0.543319
1070048,0.041779000000000004,-0.0025440000000000003,-0.08098999999999999,1.0055928571428572,-0.003948877551020408,0.09274877551020407,-0.33723400000000003,-0.437395,0.5510619999999999
1070148,0.049154,-0.008105,-0.09088500000000001,0.9903046938775509,-0.009764489795918367,0.08816806122448978,-0.335894,-0.44079399999999996,0.5589069999999999
1070248,0.044335,-0.020923,-0.089469,0.9916612244897959,-0.026520204081632654,0.08220530612244897,-0.336098,-0.44628199999999996,0.569149
1070348,0.036733,-0.029643,-0.093986,0.9901764285714284,-0.03720153061224489,0.08423602040816325,-0.33474499999999996,-0.452621,0.575842
