PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
04844,831377,9.747946,1.031635,0.397541,0.015617,-0.050291,-0.005671,-0.226615,-0.052627,1.036773,66.264273,-83.750695,-65.817149
04845,831477,9.746033,1.034061,0.396751,0.016189,-0.048342,-0.003586,-0.224040,-0.051952,1.032301,66.521276,-83.759238,-66.065630
04846,831577,9.740009,1.024748,0.391066,0.013420,-0.053779,-0.001565,-0.221091,-0.053591,1.034225,66.799429,-83.769952,-66.336971
04847,831677,9.749377,1.005316,0.418794,0.004498,-0.054439,0.002269,-0.221517,-0.054386,1.030176,67.068746,-83.782694,-66.604557
04848,831777,9.761705,0.960486,0.421515,-0.002786,-0.051867,0.003575,-0.214031,-0.051990,1.029805,67.319820,-83.795423,-66.857988
04849,831877,9.773309,0.947855,0.393518,-0.006928,-0.050760,0.007935,-0.214896,-0.056595,1.022054,67.555356,-83.810098,-67.098176
04850,831977,9.781752,0.941583,0.384598,-0.006743,-0.045270,0.008828,-0.213879,-0.055068,1.021131,67.763427,-83.823952,-67.310629
04851,832077,9.781985,0.984232,0.390947,-0.004783,-0.040818,0.011292,-0.213840,-0.058933,1.018429,67.946754,-83.838073,-67.497061
04852,832177,9.815491,1.007048,0.405318,-0.002517,-0.035703,0.010509,-0.212791,-0.060797,1.015329,68.108536,-83.850620,-67.660509
04853,832277,9.789723,1.036801,0.422221,0.002976,-0.028063,0.010322,-0.217714,-0.059079,1.012404,68.236694,-83.861396,-67.786966
04854,832377,9.798206,1.029846,0.456223,0.002965,-0.020547,0.010788,-0.216171,-0.057986,1.009957,68.327094,-83.870799,-67.875451
04855,832477,9.830195,1.019153,0.425585,-0.002362,-0.014890,0.009047,-0.213214,-0.060098,1.011355,68.390033,-83.878066,-67.939384
04856,832577,9.801192,1.025248,0.433221,-0.006390,-0.007798,0.008585,-0.214085,-0.062735,1.004205,68.416447,-83.883585,-67.968902
04857,832677,9.786005,1.038426,0.412795,-0.008558,-0.006213,0.009142,-0.216076,-0.062205,1.004230,68.432684,-83.889065,-67.989429
04858,832777,9.799270,1.005913,0.383988,-0.008749,-0.000713,0.005231,-0.216920,-0.064769,0.995581,68.429153,-83.891303,-67.990182
04859,832877,9.773373,0.993749,0.460898,-0.006552,0.003834,0.008908,-0.216013,-0.067991,0.999927,68.396978,-83.894540,-67.960865
04860,832977,9.791308,0.972202,0.518582,-0.002578,0.012843,0.009190,-0.215001,-0.069454,0.998851,68.321609,-83.896021,-67.885829
04861,833077,9.801283,0.966254,0.522733,-0.005484,0.025623,0.010707,-0.214433,-0.072258,0.994701,68.177917,-83.895580,-67.743767
04862,833177,9.784332,0.987442,0.497336,-0.007692,0.035910,0.009077,-0.212035,-0.072040,0.999725,67.985150,-83.892028,-67.553629
04863,833277,9.792870,0.951121,0.444773,-0.002134,0.036380,0.009435,-0.211533,-0.075014,0.999073,67.792736,-83.888498,-67.360648
04864,833377,9.822689,0.933478,0.422402,0.009278,0.040959,0.006756,-0.211564,-0.077079,1.000471,67.589897,-83.882480,-67.150614
04865,833477,9.840787,0.936167,0.434468,0.019225,0.053032,0.002942,-0.212621,-0.074740,1.004096,67.341509,-83.871707,-66.889042
04866,833577,9.829529,0.973384,0.431505,0.017294,0.061317,-0.000783,-0.211644,-0.075303,1.005070,67.060007,-83.856998,-66.595274
04867,833677,9.790305,0.987978,0.441335,0.009419,0.064352,-0.002046,-0.213168,-0.081306,1.005765,66.763210,-83.840782,-66.290654
04868,833777,9.776536,1.049993,0.461597,-0.002601,0.062525,-0.003848,-0.212274,-0.076130,1.012042,66.473798,-83.823868,-66.000373
04869,833877,9.737918,1.107564,0.505361,-0.006343,0.063970,-0.003810,-0.216376,-0.079345,1.017886,66.176771,-83.806479,-65.704569
04870,833977,9.758091,1.068107,0.542016,-0.008795,0.070655,-0.003379,-0.214344,-0.078284,1.015939,65.846956,-83.787584,-65.377182
04871,834077,9.788790,1.001362,0.502039,-0.009676,0.077695,-0.002391,-0.215866,-0.077834,1.017463,65.482871,-83.767329,-65.015820
04872,834177,9.819725,0.965740,0.496709,-0.012030,0.089499,0.000696,-0.218925,-0.075987,1.021562,65.057017,-83.745582,-64.593669
04873,834277,9.822161,0.923316,0.494651,-0.009784,0.097579,0.003073,-0.221996,-0.075160,1.026110,64.592059,-83.722742,-64.130877
04874,834377,9.788273,0.864859,0.493365,-0.003012,0.110555,0.002989,-0.222607,-0.070981,1.032836,64.073985,-83.696209,-63.610738
04875,834477,9.744936,0.854361,0.485962,0.004413,0.117933,0.003652,-0.230126,-0.070982,1.035333,63.528899,-83.667624,-63.059131
04876,834577,9.694020,0.896652,0.485698,0.010714,0.108912,0.003711,-0.230205,-0.068708,1.039958,63.033562,-83.640844,-62.553927
04877,834677,9.686331,0.968854,0.483908,0.011832,0.097829,0.005045,-0.236835,-0.066524,1.048579,62.590311,-83.617190,-62.100463
04878,834777,9.705703,1.047127,0.495677,0.006402,0.088119,0.011647,-0.237867,-0.061148,1.051358,62.175381,-83.599090,-61.678600
04879,834877,9.708999,1.075883,0.510676,0.004332,0.087315,0.012103,-0.239445,-0.060843,1.055881,61.764160,-83.581099,-61.261633
04880,834977,9.707112,1.045412,0.525598,0.012073,0.095830,0.016121,-0.242884,-0.054712,1.054185,61.311974,-83.562456,-60.798954
